               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.021429,            0.018165,                   0,             0.95172,             0.97173,             0.97499,             0.79704,            0.017102,            0.022957,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.020319,            0.017953,                   0,              0.9854,             0.95067,              0.9814,             0.78756,            0.017668,            0.022832,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.020621,            0.018022,                   0,             0.96477,             0.96479,             0.97643,             0.78991,            0.016643,            0.022061,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.020033,            0.018014,                   0,             0.97183,             0.97182,             0.97448,              0.7914,            0.017412,            0.021453,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.020421,            0.017664,                   0,             0.97163,             0.96478,             0.97758,             0.78196,            0.016964,            0.022354,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.021285,            0.017732,                   0,             0.98529,             0.94362,             0.97442,             0.81309,            0.017252,            0.022181,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.020739,            0.018053,                   0,             0.96497,             0.97183,             0.97601,             0.82387,            0.015323,              0.0219,                   0,            0.007987,            0.007987,            0.007987
                  63,             0.02062,            0.017618,                   0,              0.9854,             0.95069,             0.97741,             0.81101,             0.01591,            0.022181,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.021018,            0.017966,                   0,             0.96509,             0.97887,             0.98076,             0.80862,            0.016302,             0.02234,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.020656,            0.017913,                   0,             0.97203,             0.97887,             0.97818,             0.81934,            0.015607,            0.021743,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.020117,            0.017847,                   0,             0.98568,             0.97183,              0.9806,             0.79531,            0.018428,             0.02259,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.019587,            0.017022,                   0,             0.96524,             0.97887,              0.9776,             0.81262,            0.015149,            0.021029,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.018255,            0.016936,                   0,             0.97837,             0.95775,             0.97597,             0.79594,            0.016619,            0.021957,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.019121,            0.016854,                   0,             0.97163,             0.96478,             0.97716,             0.79765,            0.017117,            0.022404,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.019605,             0.01751,                   0,             0.97199,             0.97887,             0.97422,             0.79537,            0.016192,            0.021886,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.018737,            0.017065,                   0,             0.97183,              0.9718,             0.97622,             0.80663,            0.015326,            0.021549,                   0,             0.00769,             0.00769,             0.00769
                  72,             0.01937,            0.017119,                   0,             0.98559,             0.96479,             0.97962,             0.79848,            0.016648,            0.021763,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.019491,            0.016937,                   0,             0.97201,             0.97887,             0.97514,             0.81222,            0.015598,            0.021103,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.019747,            0.016727,                   0,             0.97201,             0.97887,             0.97212,             0.80168,            0.015655,            0.021191,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.018955,            0.016632,                   0,             0.97203,             0.97887,              0.9787,             0.81165,             0.01455,             0.02039,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.019395,            0.016493,                   0,             0.96528,             0.97887,             0.97627,             0.80268,            0.015427,            0.021533,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.018298,            0.016989,                   0,             0.98547,             0.95775,             0.97259,              0.8012,            0.015146,            0.021616,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.017993,            0.015927,                   0,             0.96523,             0.97887,             0.97641,             0.81401,            0.015064,            0.021249,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.019754,            0.017637,                   0,             0.95859,             0.97887,             0.97999,             0.81273,            0.016359,            0.021793,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.019001,            0.016648,                   0,              0.9854,             0.95068,             0.97518,             0.79239,            0.016145,            0.021611,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.018331,            0.016876,                   0,             0.96475,             0.96479,             0.96965,             0.80458,            0.015783,            0.021088,                   0,             0.00736,             0.00736,             0.00736
